shipment_date,planning_day,is_planning_window,corridor_id,item_id,item_name,unique_item_id,dispatch_location
2026-02-22,History,0,C1_I95_NJ_BOS,10021,Remdesivir 100mg,RMD-2026-0001,Boston-MGH
2026-02-22,History,0,C1_I95_NJ_BOS,10022,Insulin Lispro,INS-2026-0001,Boston-BWH
2026-02-22,History,0,C2_NJ_PHL,10022,Insulin Lispro,INS-2026-1001,Philadelphia-UPenn
2026-02-22,History,0,C2_NJ_PHL,10040,Epinephrine Auto-Injector,EPI-2026-1001,Philadelphia-CHOP
2026-02-23,History,0,C1_I95_NJ_BOS,10021,Remdesivir 100mg,RMD-2026-0002,Boston-MGH
2026-02-23,History,0,C1_I95_NJ_BOS,10035,Pembrolizumab,PBR-2026-0001,Boston-DanaFarber
2026-02-23,History,0,C2_NJ_PHL,10021,Remdesivir 100 mg,RMD-2026-1002,Philadelphia-CHOP
2026-02-23,History,0,C2_NJ_PHL,10050,Heparin Sodium,HEP-2026-1001,Philadelphia-Jefferson
2026-02-24,History,0,C1_I95_NJ_BOS,10022,Insulin Lispro,INS-2026-0002,Boston-BWH
2026-02-24,History,0,C1_I95_NJ_BOS,10040,Epinephrine Auto-Injector,EPI-2026-0001,Boston-Children
2026-02-24,History,0,C2_NJ_PHL,10022,Insulin Lispro,,Philadelphia-UPenn
2026-02-24,History,0,C2_NJ_PHL,10070,Albuterol Inhaler,ALB-2026-1001,Philadelphia-CHOP
2026-02-25,History,0,C1_I95_NJ_BOS,10035,Pembrolizumab,PBR-2026-0002,Boston-DanaFarber
2026-02-25,History,0,C1_I95_NJ_BOS,10050,Heparin Sodium,HEP-2026-0001,Boston-MGH
2026-02-25,History,0,C2_NJ_PHL,10035,Pembrolizumab (Keytruda),PBR-2026-1001,Philadelphia-UPenn
2026-02-25,History,0,C2_NJ_PHL,10060,Morphine Sulfate,MOR-2026-1001,Philadelphia-Jefferson
2026-02-26,History,0,C1_I95_NJ_BOS,10021,Remdesivir 200mg,RMD-2026-0003,Boston-MGH
2026-02-26,History,0,C1_I95_NJ_BOS,10022,Insulin Lispro,INS-2026-0003,Boston-BWH
2026-02-26,History,0,C2_NJ_PHL,10021,Remdesivir 100mg,RMD-2026-1003,Philadelphia-UPenn
2026-02-26,History,0,C2_NJ_PHL,10022,Insulin Lispro,INS-2026-1002,Philadelphia-CHOP
2026-02-27,History,0,C1_I95_NJ_BOS,10040,Epinephrine Auto-Injector,EPI-2026-0002,Boston-Children
2026-02-27,History,0,C1_I95_NJ_BOS,10050,Heparin Sodium,HEP-2026-0002,Boston-MGH
2026-02-27,History,0,C2_NJ_PHL,10040,EpiPen Auto Injector,EPI-2026-1002,Philadelphia-CHOP
2026-02-27,History,0,C2_NJ_PHL,10050,Heparin Na,HEP-2026-1002,Philadelphia-Jefferson
2026-02-28,History,0,C1_I95_NJ_BOS,10060,Morphine Sulfate,MOR-2026-0001,Boston-BWH
2026-02-28,History,0,C1_I95_NJ_BOS,10070,Albuterol Inhaler,ALB-2026-0001,Boston-Children
2026-02-28,History,0,C2_NJ_PHL,10060,Morphine Sulphate,MOR-2026-1002,Philadelphia-Jefferson
2026-02-28,History,0,C2_NJ_PHL,10070,Albuterol Inhaler 90mcg,ALB-2026-1002,Philadelphia-CHOP
2026-03-01,History,0,C1_I95_NJ_BOS,10021,Remdesivir 100mg,,Boston-MGH
2026-03-01,History,0,C1_I95_NJ_BOS,10022,Insulin Lispro,INS-2026-0004,Boston-BWH
2026-03-01,History,0,C2_NJ_PHL,10021,Remdesivir 100 mg,RMD-2026-1004,Philadelphia-CHOP
2026-03-01,History,0,C2_NJ_PHL,10022,Insulin Lispro,INS-2026-1003,Philadelphia-UPenn
2026-03-02,History,0,C1_I95_NJ_BOS,10021,Remdesivir 200mg,RMD-2026-0004,Boston-MGH
2026-03-02,History,0,C1_I95_NJ_BOS,10035,Pembrolizumab,PBR-2026-0003,Boston-DanaFarber
2026-03-02,History,0,C2_NJ_PHL,10035,Pembrolizumab,PBR-2026-1002,Philadelphia-UPenn
2026-03-02,History,0,C2_NJ_PHL,10050,Heparin Sodium,HEP-2026-1003,Philadelphia-Jefferson
2026-03-03,History,0,C1_I95_NJ_BOS,10040,Epinephrine Auto-Injector,EPI-2026-0003,Boston-Children
2026-03-03,History,0,C1_I95_NJ_BOS,10060,Morphine Sulfate,MOR-2026-0002,Boston-BWH
2026-03-03,History,0,C2_NJ_PHL,10040,EpiPen Auto Injector,EPI-2026-1003,Philadelphia-CHOP
